feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
290.6,269.4,273.5,134.4,210.6,182.6,1010.316129,1009.326667,1008.27907,1009.384783,1009.425301,1009.327957,27.47871,27.75,28.057419,26.627097,27.263571,26.757419,71.983871,75.533333,77.258065,85.451613,80.991071,85.798387,19.88,20.77,21.79,23.79,26.03,27.25,26.57,26.33,26.19,26.39,26.71,27.29,24.55,24.42,24.61,25.17,26.16,27.35,28.95,28.78,28.66,28.72,28.66,28.57,0.24,0.37,0.57,0.61,0.51,0.25,0.48,0.62,0.66,0.78,0.53,0.37,0.2,0.16,0.01,0.14,-0.06,0.29,505.2
269.4,273.5,134.4,210.6,182.6,153.3,1009.326667,1008.27907,1009.384783,1009.425301,1009.327957,1008.741111,27.75,28.057419,26.627097,27.263571,26.757419,26.317333,75.533333,77.258065,85.451613,80.991071,85.798387,87.358333,20.77,21.79,23.79,26.03,27.25,26.35,26.33,26.19,26.39,26.71,27.29,27.84,24.42,24.61,25.17,26.16,27.35,27.58,28.78,28.66,28.72,28.66,28.57,29.03,0.37,0.57,0.61,0.51,0.25,0.0,0.62,0.66,0.78,0.53,0.37,-0.02,0.16,0.01,0.14,-0.06,0.29,0.31,196.9
273.5,134.4,210.6,182.6,153.3,206.4,1008.27907,1009.384783,1009.425301,1009.327957,1008.741111,1009.896739,28.057419,26.627097,27.263571,26.757419,26.317333,26.656774,77.258065,85.451613,80.991071,85.798387,87.358333,85.346774,21.79,23.79,26.03,27.25,26.35,25.04,26.19,26.39,26.71,27.29,27.84,28.24,24.61,25.17,26.16,27.35,27.58,27.51,28.66,28.72,28.66,28.57,29.03,29.52,0.57,0.61,0.51,0.25,0.0,-0.14,0.66,0.78,0.53,0.37,-0.02,-0.19,0.01,0.14,-0.06,0.29,0.31,0.49,190.0
134.4,210.6,182.6,153.3,206.4,199.1,1009.384783,1009.425301,1009.327957,1008.741111,1009.896739,1012.003333,26.627097,27.263571,26.757419,26.317333,26.656774,25.957333,85.451613,80.991071,85.798387,87.358333,85.346774,83.491667,23.79,26.03,27.25,26.35,25.04,23.51,26.39,26.71,27.29,27.84,28.24,28.44,25.17,26.16,27.35,27.58,27.51,27.19,28.72,28.66,28.57,29.03,29.52,29.61,0.61,0.51,0.25,0.0,-0.14,-0.22,0.78,0.53,0.37,-0.02,-0.19,-0.13,0.14,-0.06,0.29,0.31,0.49,0.33,119.8
210.6,182.6,153.3,206.4,199.1,265.4,1009.425301,1009.327957,1008.741111,1009.896739,1012.003333,1012.609677,27.263571,26.757419,26.317333,26.656774,25.957333,25.798065,80.991071,85.798387,87.358333,85.346774,83.491667,79.693548,26.03,27.25,26.35,25.04,23.51,21.72,26.71,27.29,27.84,28.24,28.44,28.03,26.16,27.35,27.58,27.51,27.19,26.19,28.66,28.57,29.03,29.52,29.61,29.52,0.51,0.25,0.0,-0.14,-0.22,-0.18,0.53,0.37,-0.02,-0.19,-0.13,-0.06,-0.06,0.29,0.31,0.49,0.33,0.47,14.2
182.6,153.3,206.4,199.1,265.4,302.9,1009.327957,1008.741111,1009.896739,1012.003333,1012.609677,1012.019355,26.757419,26.317333,26.656774,25.957333,25.798065,26.330323,85.798387,87.358333,85.346774,83.491667,79.693548,76.725806,27.25,26.35,25.04,23.51,21.72,20.74,27.29,27.84,28.24,28.44,28.03,27.72,27.35,27.58,27.51,27.19,26.19,25.63,28.57,29.03,29.52,29.61,29.52,29.43,0.25,0.0,-0.14,-0.22,-0.18,-0.15,0.37,-0.02,-0.19,-0.13,-0.06,-0.05,0.29,0.31,0.49,0.33,0.47,0.01,9.1
153.3,206.4,199.1,265.4,302.9,291.0,1008.741111,1009.896739,1012.003333,1012.609677,1012.019355,1011.63908,26.317333,26.656774,25.957333,25.798065,26.330323,26632.0,87.358333,85.346774,83.491667,79.693548,76.725806,72.533333,26.35,25.04,23.51,21.72,20.74,20.93,27.84,28.24,28.44,28.03,27.72,27.81,27.58,27.51,27.19,26.19,25.63,25.76,29.03,29.52,29.61,29.52,29.43,29.37,0.0,-0.14,-0.22,-0.18,-0.15,-0.02,-0.02,-0.19,-0.13,-0.06,-0.05,0.07,0.31,0.49,0.33,0.47,0.01,-0.08,40.7
206.4,199.1,265.4,302.9,291.0,290.8,1009.896739,1012.003333,1012.609677,1012.019355,1011.63908,1009.849462,26.656774,25.957333,25.798065,26.330323,26632.0,27.150968,85.346774,83.491667,79.693548,76.725806,72.533333,73.524194,25.04,23.51,21.72,20.74,20.93,21.39,28.24,28.44,28.03,27.72,27.81,27.96,27.51,27.19,26.19,25.63,25.76,25.97,29.52,29.61,29.52,29.43,29.37,29.41,-0.14,-0.22,-0.18,-0.15,-0.02,0.01,-0.19,-0.13,-0.06,-0.05,0.07,0.36,0.49,0.33,0.47,0.01,-0.08,0.14,20.0
199.1,265.4,302.9,291.0,290.8,281.7,1012.003333,1012.609677,1012.019355,1011.63908,1009.849462,1009.808889,25.957333,25.798065,26.330323,26632.0,27.150968,27236.0,83.491667,79.693548,76.725806,72.533333,73.524194,74.858333,23.51,21.72,20.74,20.93,21.39,22.63,28.44,28.03,27.72,27.81,27.96,28.17,27.19,26.19,25.63,25.76,25.97,26.4,29.61,29.52,29.43,29.37,29.41,29.55,-0.22,-0.18,-0.15,-0.02,0.01,0.01,-0.13,-0.06,-0.05,0.07,0.36,0.22,0.33,0.47,0.01,-0.08,0.14,-0.07,4.3
265.4,302.9,291.0,290.8,281.7,279.1,1012.609677,1012.019355,1011.63908,1009.849462,1009.808889,1009.666304,25.798065,26.330323,26632.0,27.150968,27236.0,28.016129,79.693548,76.725806,72.533333,73.524194,74.858333,74.879032,21.72,20.74,20.93,21.39,22.63,23.91,28.03,27.72,27.81,27.96,28.17,27.97,26.19,25.63,25.76,25.97,26.4,26.44,29.52,29.43,29.37,29.41,29.55,29.38,-0.18,-0.15,-0.02,0.01,0.01,0.03,-0.06,-0.05,0.07,0.36,0.22,0.2,0.47,0.01,-0.08,0.14,-0.07,0.35,151.0
