feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
316.6,286.5,266.0,261.0,254.5,172.3,990.865591,987.375556,987.054839,985.843333,985.387778,987.543011,27.330323,28.555385,29.22129,29.892667,29.31,25.859355,43.564516,44.558333,46.685484,46.891667,50.683333,82.137097,20.16,19.6,19.88,20.77,21.79,23.79,26.8,26.52,26.57,26.33,26.19,26.39,24.9,24.31,24.55,24.42,24.61,25.17,28.84,28.97,28.95,28.78,28.66,28.72,0.08,0.13,0.24,0.37,0.57,0.61,0.34,0.51,0.48,0.62,0.66,0.78,0.14,0.11,0.2,0.16,0.01,0.14,44.0
286.5,266.0,261.0,254.5,172.3,225.7,987.375556,987.054839,985.843333,985.387778,987.543011,987.588095,28.555385,29.22129,29.892667,29.31,25.859355,26.590714,44.558333,46.685484,46.891667,50.683333,82.137097,72.544643,19.6,19.88,20.77,21.79,23.79,26.03,26.52,26.57,26.33,26.19,26.39,26.71,24.31,24.55,24.42,24.61,25.17,26.16,28.97,28.95,28.78,28.66,28.72,28.66,0.13,0.24,0.37,0.57,0.61,0.51,0.51,0.48,0.62,0.66,0.78,0.53,0.11,0.2,0.16,0.01,0.14,-0.06,215.3
266.0,261.0,254.5,172.3,225.7,215.9,987.054839,985.843333,985.387778,987.543011,987.588095,987.458065,29.22129,29.892667,29.31,25.859355,26.590714,26.559355,46.685484,46.891667,50.683333,82.137097,72.544643,78.064516,19.88,20.77,21.79,23.79,26.03,27.25,26.57,26.33,26.19,26.39,26.71,27.29,24.55,24.42,24.61,25.17,26.16,27.35,28.95,28.78,28.66,28.72,28.66,28.57,0.24,0.37,0.57,0.61,0.51,0.25,0.48,0.62,0.66,0.78,0.53,0.37,0.2,0.16,0.01,0.14,-0.06,0.29,117.0
261.0,254.5,172.3,225.7,215.9,219.2,985.843333,985.387778,987.543011,987.588095,987.458065,986.352222,29.892667,29.31,25.859355,26.590714,26.559355,25.854667,46.891667,50.683333,82.137097,72.544643,78.064516,78325.0,20.77,21.79,23.79,26.03,27.25,26.35,26.33,26.19,26.39,26.71,27.29,27.84,24.42,24.61,25.17,26.16,27.35,27.58,28.78,28.66,28.72,28.66,28.57,29.03,0.37,0.57,0.61,0.51,0.25,0.0,0.62,0.66,0.78,0.53,0.37,-0.02,0.16,0.01,0.14,-0.06,0.29,0.31,142.3
254.5,172.3,225.7,215.9,219.2,233.4,985.387778,987.543011,987.588095,987.458065,986.352222,988.41828,29.31,25.859355,26.590714,26.559355,25.854667,25.763871,50.683333,82.137097,72.544643,78.064516,78325.0,77.233871,21.79,23.79,26.03,27.25,26.35,25.04,26.19,26.39,26.71,27.29,27.84,28.24,24.61,25.17,26.16,27.35,27.58,27.51,28.66,28.72,28.66,28.57,29.03,29.52,0.57,0.61,0.51,0.25,0.0,-0.14,0.66,0.78,0.53,0.37,-0.02,-0.19,0.01,0.14,-0.06,0.29,0.31,0.49,26.8
172.3,225.7,215.9,219.2,233.4,249.0,987.543011,987.588095,987.458065,986.352222,988.41828,990.093333,25.859355,26.590714,26.559355,25.854667,25.763871,25.599333,82.137097,72.544643,78.064516,78325.0,77.233871,66.791667,23.79,26.03,27.25,26.35,25.04,23.51,26.39,26.71,27.29,27.84,28.24,28.44,25.17,26.16,27.35,27.58,27.51,27.19,28.72,28.66,28.57,29.03,29.52,29.61,0.61,0.51,0.25,0.0,-0.14,-0.22,0.78,0.53,0.37,-0.02,-0.19,-0.13,0.14,-0.06,0.29,0.31,0.49,0.33,15.6
225.7,215.9,219.2,233.4,249.0,270.3,987.588095,987.458065,986.352222,988.41828,990.093333,990.532258,26.590714,26.559355,25.854667,25.763871,25.599333,26.86129,72.544643,78.064516,78325.0,77.233871,66.791667,53.620968,26.03,27.25,26.35,25.04,23.51,21.72,26.71,27.29,27.84,28.24,28.44,28.03,26.16,27.35,27.58,27.51,27.19,26.19,28.66,28.57,29.03,29.52,29.61,29.52,0.51,0.25,0.0,-0.14,-0.22,-0.18,0.53,0.37,-0.02,-0.19,-0.13,-0.06,-0.06,0.29,0.31,0.49,0.33,0.47,0.0
215.9,219.2,233.4,249.0,270.3,311.8,987.458065,986.352222,988.41828,990.093333,990.532258,989.840217,26.559355,25.854667,25.763871,25.599333,26.86129,27.470968,78.064516,78325.0,77.233871,66.791667,53.620968,43.008065,27.25,26.35,25.04,23.51,21.72,20.74,27.29,27.84,28.24,28.44,28.03,27.72,27.35,27.58,27.51,27.19,26.19,25.63,28.57,29.03,29.52,29.61,29.52,29.43,0.25,0.0,-0.14,-0.22,-0.18,-0.15,0.37,-0.02,-0.19,-0.13,-0.06,-0.05,0.29,0.31,0.49,0.33,0.47,0.01,0.5
219.2,233.4,249.0,270.3,311.8,299.0,986.352222,988.41828,990.093333,990.532258,989.840217,988.516667,25.854667,25.763871,25.599333,26.86129,27.470968,28.817333,78325.0,77.233871,66.791667,53.620968,43.008065,38.216667,26.35,25.04,23.51,21.72,20.74,20.93,27.84,28.24,28.44,28.03,27.72,27.81,27.58,27.51,27.19,26.19,25.63,25.76,29.03,29.52,29.61,29.52,29.43,29.37,0.0,-0.14,-0.22,-0.18,-0.15,-0.02,-0.02,-0.19,-0.13,-0.06,-0.05,0.07,0.31,0.49,0.33,0.47,0.01,-0.08,6.4
233.4,249.0,270.3,311.8,299.0,310.7,988.41828,990.093333,990.532258,989.840217,988.516667,987.107527,25.763871,25.599333,26.86129,27.470968,28.817333,29.829677,77.233871,66.791667,53.620968,43.008065,38.216667,38.403226,25.04,23.51,21.72,20.74,20.93,21.39,28.24,28.44,28.03,27.72,27.81,27.96,27.51,27.19,26.19,25.63,25.76,25.97,29.52,29.61,29.52,29.43,29.37,29.41,-0.14,-0.22,-0.18,-0.15,-0.02,0.01,-0.19,-0.13,-0.06,-0.05,0.07,0.36,0.49,0.33,0.47,0.01,-0.08,0.14,0.4
232.7,168.8,230.3,243.4,258.4,264.5,987.533696,987.509524,987.854167,988855.0,989.41129,989.848333,28.857333,26.647143,26.161935,26326.0,26.229677,25748.0,53.169355,74.580357,84.1,85.466667,83.166667,75.733333,24.69,25.98,26.42,24.98,22.77,21.77,27.15,27.39,27.65,27.68,27.32,27.44,26.23,26.84,27.39,27.14,26.29,26.03,28.89,28.88,28.92,28.96,28.86,29.07,-0.0,0.01,-0.02,0.01,0.0,0.05,0.27,0.0,0.04,0.0,0.06,0.22,0.56,0.57,0.63,0.42,0.37,0.1,1.8
168.8,230.3,243.4,258.4,264.5,273.0,987.509524,987.854167,988855.0,989.41129,989.848333,991.396774,26.647143,26.161935,26326.0,26.229677,25748.0,26.404516,74.580357,84.1,85.466667,83.166667,75.733333,56.269231,25.98,26.42,24.98,22.77,21.77,20.95,27.39,27.65,27.68,27.32,27.44,27.5,26.84,27.39,27.14,26.29,26.03,25.92,28.88,28.92,28.96,28.86,29.07,29.08,0.01,-0.02,0.01,0.0,0.05,0.2,0.0,0.04,0.0,0.06,0.22,0.36,0.57,0.63,0.42,0.37,0.1,0.4,28.9
308.6,289.8,263.2,155.0,171.0,235.1,987.998361,986.96,987.296774,987.212903,988.482759,988.004839,30.069677,30.338667,30.026452,27.024516,25.725517,26.405161,43.258065,44.466667,51.233333,75.866667,86.551724,86.096774,21.25,21.94,23.03,24.36,26.03,25.75,27.14,27.04,27.03,26.81,26.98,27.4,25.38,25.75,26.0,26.08,26.7,27.34,29.12,29.07,28.97,28.75,28.57,28.42,0.45,0.41,0.36,0.49,0.47,0.38,0.8,0.48,0.49,0.5,0.51,0.36,0.53,0.55,0.56,0.41,0.22,-0.01,82.7
289.8,263.2,155.0,171.0,235.1,216.7,986.96,987.296774,987.212903,988.482759,988.004839,988315.0,30.338667,30.026452,27.024516,25.725517,26.405161,26.509333,44.466667,51.233333,75.866667,86.551724,86.096774,87.033333,21.94,23.03,24.36,26.03,25.75,24.96,27.04,27.03,26.81,26.98,27.4,27.89,25.75,26.0,26.08,26.7,27.34,27.52,29.07,28.97,28.75,28.57,28.42,28.71,0.41,0.36,0.49,0.47,0.38,0.19,0.48,0.49,0.5,0.51,0.36,0.46,0.55,0.56,0.41,0.22,-0.01,-0.26,125.1
263.2,155.0,171.0,235.1,216.7,223.2,987.296774,987.212903,988.482759,988.004839,988315.0,989.851613,30.026452,27.024516,25.725517,26.405161,26.509333,26.076774,51.233333,75.866667,86.551724,86.096774,87.033333,85.258065,23.03,24.36,26.03,25.75,24.96,22.82,27.03,26.81,26.98,27.4,27.89,28.0,26.0,26.08,26.7,27.34,27.52,26.8,28.97,28.75,28.57,28.42,28.71,29.02,0.36,0.49,0.47,0.38,0.19,0.12,0.49,0.5,0.51,0.36,0.46,0.17,0.56,0.41,0.22,-0.01,-0.26,-0.12,39.7
155.0,171.0,235.1,216.7,223.2,229.9,987.212903,988.482759,988.004839,988315.0,989.851613,992.178333,27.024516,25.725517,26.405161,26.509333,26.076774,24.988667,75.866667,86.551724,86.096774,87.033333,85.258065,83.566667,24.36,26.03,25.75,24.96,22.82,22.05,26.81,26.98,27.4,27.89,28.0,27.86,26.08,26.7,27.34,27.52,26.8,26.35,28.75,28.57,28.42,28.71,29.02,29.19,0.49,0.47,0.38,0.19,0.12,0.14,0.5,0.51,0.36,0.46,0.17,0.27,0.41,0.22,-0.01,-0.26,-0.12,-0.08,19.7
171.0,235.1,216.7,223.2,229.9,252.3,988.482759,988.004839,988315.0,989.851613,992.178333,990.720968,25.725517,26.405161,26.509333,26.076774,24.988667,25.817419,86.551724,86.096774,87.033333,85.258065,83.566667,68.451613,26.03,25.75,24.96,22.82,22.05,21.18,26.98,27.4,27.89,28.0,27.86,27.78,26.7,27.34,27.52,26.8,26.35,25.78,28.57,28.42,28.71,29.02,29.19,29.32,0.47,0.38,0.19,0.12,0.14,0.23,0.51,0.36,0.46,0.17,0.27,0.46,0.22,-0.01,-0.26,-0.12,-0.08,0.08,0.0
235.1,216.7,223.2,229.9,252.3,291.4,988.004839,988315.0,989.851613,992.178333,990.720968,991.675806,26.405161,26.509333,26.076774,24.988667,25.817419,27.173548,86.096774,87.033333,85.258065,83.566667,68.451613,56.064516,25.75,24.96,22.82,22.05,21.18,20.26,27.4,27.89,28.0,27.86,27.78,27.62,27.34,27.52,26.8,26.35,25.78,25.36,28.42,28.71,29.02,29.19,29.32,29.34,0.38,0.19,0.12,0.14,0.23,0.35,0.36,0.46,0.17,0.27,0.46,0.68,-0.01,-0.26,-0.12,-0.08,0.08,0.22,7.1
282.8,262.1,230.0,204.7,189.1,236.4,987.359322,987.022581,986.675806,986.653571,987.959677,988.251667,29.367333,29.59871,29.469032,29.161429,28.010323,26922.0,48.4,50.451613,54.558333,58.607143,71.0,81.366667,22.37,23.18,24.54,25.16,25.03,25.12,27.36,27.34,27.21,27.11,27.73,28.08,25.73,25.91,25.98,26.31,27.14,27.53,29.45,29.41,29.2,28.87,28.93,29.05,0.44,0.45,0.38,0.47,0.57,0.75,0.63,0.53,0.46,0.38,0.68,0.81,0.24,0.43,0.61,0.49,0.61,0.29,41.6
262.1,230.0,204.7,189.1,236.4,221.8,987.022581,986.675806,986.653571,987.959677,988.251667,989.212903,29.59871,29.469032,29.161429,28.010323,26922.0,25.967742,50.451613,54.558333,58.607143,71.0,81.366667,80.709677,23.18,24.54,25.16,25.03,25.12,24.04,27.34,27.21,27.11,27.73,28.08,28.24,25.91,25.98,26.31,27.14,27.53,27.41,29.41,29.2,28.87,28.93,29.05,29.21,0.45,0.38,0.47,0.57,0.75,0.75,0.53,0.46,0.38,0.68,0.81,1.01,0.43,0.61,0.49,0.61,0.29,-0.06,87.1
