feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
262.5,270.6,253.9,165.7,233.7,239.1,965.957609,964.637931,964.359524,966.18125,966.267949,966.066667,27.799355,28.568667,27.276129,24.81871,25.340714,25.256774,52.370968,49925.0,61.927419,80.209677,75.053571,78.532258,19.88,20.77,21.79,23.79,26.03,27.25,26.57,26.33,26.19,26.39,26.71,27.29,24.55,24.42,24.61,25.17,26.16,27.35,28.95,28.78,28.66,28.72,28.66,28.57,0.24,0.37,0.57,0.61,0.51,0.25,0.48,0.62,0.66,0.78,0.53,0.37,0.2,0.16,0.01,0.14,-0.06,0.29,97.6
270.6,253.9,165.7,233.7,239.1,228.1,964.637931,964.359524,966.18125,966.267949,966.066667,965.514773,28.568667,27.276129,24.81871,25.340714,25.256774,25.127333,49925.0,61.927419,80.209677,75.053571,78.532258,76.808333,20.77,21.79,23.79,26.03,27.25,26.35,26.33,26.19,26.39,26.71,27.29,27.84,24.42,24.61,25.17,26.16,27.35,27.58,28.78,28.66,28.72,28.66,28.57,29.03,0.37,0.57,0.61,0.51,0.25,0.0,0.62,0.66,0.78,0.53,0.37,-0.02,0.16,0.01,0.14,-0.06,0.29,0.31,0.6
253.9,165.7,233.7,239.1,228.1,243.0,964.359524,966.18125,966.267949,966.066667,965.514773,966.972093,27.276129,24.81871,25.340714,25.256774,25.127333,25.19871,61.927419,80.209677,75.053571,78.532258,76.808333,73.314516,21.79,23.79,26.03,27.25,26.35,25.04,26.19,26.39,26.71,27.29,27.84,28.24,24.61,25.17,26.16,27.35,27.58,27.51,28.66,28.72,28.66,28.57,29.03,29.52,0.57,0.61,0.51,0.25,0.0,-0.14,0.66,0.78,0.53,0.37,-0.02,-0.19,0.01,0.14,-0.06,0.29,0.31,0.49,11.2
165.7,233.7,239.1,228.1,243.0,234.4,966.18125,966.267949,966.066667,965.514773,966.972093,968.958889,24.81871,25.340714,25.256774,25.127333,25.19871,25.384667,80.209677,75.053571,78.532258,76.808333,73.314516,62.666667,23.79,26.03,27.25,26.35,25.04,23.51,26.39,26.71,27.29,27.84,28.24,28.44,25.17,26.16,27.35,27.58,27.51,27.19,28.72,28.66,28.57,29.03,29.52,29.61,0.61,0.51,0.25,0.0,-0.14,-0.22,0.78,0.53,0.37,-0.02,-0.19,-0.13,0.14,-0.06,0.29,0.31,0.49,0.33,1.4
233.7,239.1,228.1,243.0,234.4,281.9,966.267949,966.066667,965.514773,966.972093,968.958889,969.383871,25.340714,25.256774,25.127333,25.19871,25.384667,25.164516,75.053571,78.532258,76.808333,73.314516,62.666667,55.75,26.03,27.25,26.35,25.04,23.51,21.72,26.71,27.29,27.84,28.24,28.44,28.03,26.16,27.35,27.58,27.51,27.19,26.19,28.66,28.57,29.03,29.52,29.61,29.52,0.51,0.25,0.0,-0.14,-0.22,-0.18,0.53,0.37,-0.02,-0.19,-0.13,-0.06,-0.06,0.29,0.31,0.49,0.33,0.47,69.0
239.1,228.1,243.0,234.4,281.9,307.7,966.066667,965.514773,966.972093,968.958889,969.383871,968.898925,25.256774,25.127333,25.19871,25.384667,25.164516,25.84,78.532258,76.808333,73.314516,62.666667,55.75,52.282258,27.25,26.35,25.04,23.51,21.72,20.74,27.29,27.84,28.24,28.44,28.03,27.72,27.35,27.58,27.51,27.19,26.19,25.63,28.57,29.03,29.52,29.61,29.52,29.43,0.25,0.0,-0.14,-0.22,-0.18,-0.15,0.37,-0.02,-0.19,-0.13,-0.06,-0.05,0.29,0.31,0.49,0.33,0.47,0.01,15.2
228.1,243.0,234.4,281.9,307.7,281.9,965.514773,966.972093,968.958889,969.383871,968.898925,967.32069,25.127333,25.19871,25.384667,25.164516,25.84,26.902667,76.808333,73.314516,62.666667,55.75,52.282258,45.233333,26.35,25.04,23.51,21.72,20.74,20.93,27.84,28.24,28.44,28.03,27.72,27.81,27.58,27.51,27.19,26.19,25.63,25.76,29.03,29.52,29.61,29.52,29.43,29.37,0.0,-0.14,-0.22,-0.18,-0.15,-0.02,-0.02,-0.19,-0.13,-0.06,-0.05,0.07,0.31,0.49,0.33,0.47,0.01,-0.08,248.4
243.0,234.4,281.9,307.7,281.9,310.5,966.972093,968.958889,969.383871,968.898925,967.32069,965.732609,25.19871,25.384667,25.164516,25.84,26.902667,28.350323,73.314516,62.666667,55.75,52.282258,45.233333,40.41129,25.04,23.51,21.72,20.74,20.93,21.39,28.24,28.44,28.03,27.72,27.81,27.96,27.51,27.19,26.19,25.63,25.76,25.97,29.52,29.61,29.52,29.43,29.37,29.41,-0.14,-0.22,-0.18,-0.15,-0.02,0.01,-0.19,-0.13,-0.06,-0.05,0.07,0.36,0.49,0.33,0.47,0.01,-0.08,0.14,141.8
234.4,281.9,307.7,281.9,310.5,285.6,968.958889,969.383871,968.898925,967.32069,965.732609,965.573333,25.384667,25.164516,25.84,26.902667,28.350323,28.404667,62.666667,55.75,52.282258,45.233333,40.41129,43.933333,23.51,21.72,20.74,20.93,21.39,22.63,28.44,28.03,27.72,27.81,27.96,28.17,27.19,26.19,25.63,25.76,25.97,26.4,29.61,29.52,29.43,29.37,29.41,29.55,-0.22,-0.18,-0.15,-0.02,0.01,0.01,-0.13,-0.06,-0.05,0.07,0.36,0.22,0.33,0.47,0.01,-0.08,0.14,-0.07,286.3
281.9,307.7,281.9,310.5,285.6,240.2,969.383871,968.898925,967.32069,965.732609,965.573333,965.558696,25.164516,25.84,26.902667,28.350323,28.404667,28.187097,55.75,52.282258,45.233333,40.41129,43.933333,52.467742,21.72,20.74,20.93,21.39,22.63,23.91,28.03,27.72,27.81,27.96,28.17,27.97,26.19,25.63,25.76,25.97,26.4,26.44,29.52,29.43,29.37,29.41,29.55,29.38,-0.18,-0.15,-0.02,0.01,0.01,0.03,-0.06,-0.05,0.07,0.36,0.22,0.2,0.47,0.01,-0.08,0.14,-0.07,0.35,104.2
