feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
194.5,189.8,160.4,192.2,232.6,253.3,966.866667,966.78913,966.373333,967.597802,969.256818,969.527957,26.061429,25.646452,25.427333,25.641935,26.005333,26.684516,67.981481,75.072581,76.75,72.362903,59.958333,48.790323,26.03,27.25,26.35,25.04,23.51,21.72,26.71,27.29,27.84,28.24,28.44,28.03,26.16,27.35,27.58,27.51,27.19,26.19,28.66,28.57,29.03,29.52,29.61,29.52,0.51,0.25,0.0,-0.14,-0.22,-0.18,0.53,0.37,-0.02,-0.19,-0.13,-0.06,-0.06,0.29,0.31,0.49,0.33,0.47,0.0
189.8,160.4,192.2,232.6,253.3,296.5,966.78913,966.373333,967.597802,969.256818,969.527957,969.008696,25.646452,25.427333,25.641935,26.005333,26.684516,27.251613,75.072581,76.75,72.362903,59.958333,48.790323,45.685484,27.25,26.35,25.04,23.51,21.72,20.74,27.29,27.84,28.24,28.44,28.03,27.72,27.35,27.58,27.51,27.19,26.19,25.63,28.57,29.03,29.52,29.61,29.52,29.43,0.25,0.0,-0.14,-0.22,-0.18,-0.15,0.37,-0.02,-0.19,-0.13,-0.06,-0.05,0.29,0.31,0.49,0.33,0.47,0.01,0.9
160.4,192.2,232.6,253.3,296.5,273.4,966.373333,967.597802,969.256818,969.527957,969.008696,967.763636,25.427333,25.641935,26.005333,26.684516,27.251613,28.065333,76.75,72.362903,59.958333,48.790323,45.685484,41.733333,26.35,25.04,23.51,21.72,20.74,20.93,27.84,28.24,28.44,28.03,27.72,27.81,27.58,27.51,27.19,26.19,25.63,25.76,29.03,29.52,29.61,29.52,29.43,29.37,0.0,-0.14,-0.22,-0.18,-0.15,-0.02,-0.02,-0.19,-0.13,-0.06,-0.05,0.07,0.31,0.49,0.33,0.47,0.01,-0.08,38.8
192.2,232.6,253.3,296.5,273.4,298.9,967.597802,969.256818,969.527957,969.008696,967.763636,966.267416,25.641935,26.005333,26.684516,27.251613,28.065333,29.003226,72.362903,59.958333,48.790323,45.685484,41.733333,39.806452,25.04,23.51,21.72,20.74,20.93,21.39,28.24,28.44,28.03,27.72,27.81,27.96,27.51,27.19,26.19,25.63,25.76,25.97,29.52,29.61,29.52,29.43,29.37,29.41,-0.14,-0.22,-0.18,-0.15,-0.02,0.01,-0.19,-0.13,-0.06,-0.05,0.07,0.36,0.49,0.33,0.47,0.01,-0.08,0.14,168.6
232.6,253.3,296.5,273.4,298.9,261.3,969.256818,969.527957,969.008696,967.763636,966.267416,966.312222,26.005333,26.684516,27.251613,28.065333,29.003226,29.217333,59.958333,48.790323,45.685484,41.733333,39.806452,41275.0,23.51,21.72,20.74,20.93,21.39,22.63,28.44,28.03,27.72,27.81,27.96,28.17,27.19,26.19,25.63,25.76,25.97,26.4,29.61,29.52,29.43,29.37,29.41,29.55,-0.22,-0.18,-0.15,-0.02,0.01,0.01,-0.13,-0.06,-0.05,0.07,0.36,0.22,0.33,0.47,0.01,-0.08,0.14,-0.07,202.8
253.3,296.5,273.4,298.9,261.3,218.1,969.527957,969.008696,967.763636,966.267416,966.312222,966.464516,26.684516,27.251613,28.065333,29.003226,29.217333,29.461935,48.790323,45.685484,41.733333,39.806452,41275.0,45.333333,21.72,20.74,20.93,21.39,22.63,23.91,28.03,27.72,27.81,27.96,28.17,27.97,26.19,25.63,25.76,25.97,26.4,26.44,29.52,29.43,29.37,29.41,29.55,29.38,-0.18,-0.15,-0.02,0.01,0.01,0.03,-0.06,-0.05,0.07,0.36,0.22,0.2,0.47,0.01,-0.08,0.14,-0.07,0.35,56.1
296.5,273.4,298.9,261.3,218.1,203.0,969.008696,967.763636,966.267416,966.312222,966.464516,966.950538,27.251613,28.065333,29.003226,29.217333,29.461935,28.455484,45.685484,41.733333,39.806452,41275.0,45.333333,59.040323,20.74,20.93,21.39,22.63,23.91,24.69,27.72,27.81,27.96,28.17,27.97,27.15,25.63,25.76,25.97,26.4,26.44,26.23,29.43,29.37,29.41,29.55,29.38,28.89,-0.15,-0.02,0.01,0.01,0.03,-0.0,-0.05,0.07,0.36,0.22,0.2,0.27,0.01,-0.08,0.14,-0.07,0.35,0.56,60.9
273.4,298.9,261.3,218.1,203.0,124.1,967.763636,966.267416,966.312222,966.464516,966.950538,966.832143,28.065333,29.003226,29.217333,29.461935,28.455484,26.567143,41.733333,39.806452,41275.0,45.333333,59.040323,73.883929,20.93,21.39,22.63,23.91,24.69,25.98,27.81,27.96,28.17,27.97,27.15,27.39,25.76,25.97,26.4,26.44,26.23,26.84,29.37,29.41,29.55,29.38,28.89,28.88,-0.02,0.01,0.01,0.03,-0.0,0.01,0.07,0.36,0.22,0.2,0.27,0.0,-0.08,0.14,-0.07,0.35,0.56,0.57,34.2
298.9,261.3,218.1,203.0,124.1,177.5,966.267416,966.312222,966.464516,966.950538,966.832143,966.672043,29.003226,29.217333,29.461935,28.455484,26.567143,25.729677,39.806452,41275.0,45.333333,59.040323,73.883929,79.451613,21.39,22.63,23.91,24.69,25.98,26.42,27.96,28.17,27.97,27.15,27.39,27.65,25.97,26.4,26.44,26.23,26.84,27.39,29.41,29.55,29.38,28.89,28.88,28.92,0.01,0.01,0.03,-0.0,0.01,-0.02,0.36,0.22,0.2,0.27,0.0,0.04,0.14,-0.07,0.35,0.56,0.57,0.63,0.1
261.3,218.1,203.0,124.1,177.5,215.8,966.312222,966.464516,966.950538,966.832143,966.672043,967.265556,29.217333,29.461935,28.455484,26.567143,25.729677,25.928667,41275.0,45.333333,59.040323,73.883929,79.451613,73.017241,22.63,23.91,24.69,25.98,26.42,24.98,28.17,27.97,27.15,27.39,27.65,27.68,26.4,26.44,26.23,26.84,27.39,27.14,29.55,29.38,28.89,28.88,28.92,28.96,0.01,0.03,-0.0,0.01,-0.02,0.01,0.22,0.2,0.27,0.0,0.04,0.0,-0.07,0.35,0.56,0.57,0.63,0.42,0.0
