feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
288.0,296.7,242.4,212.1,217.4,200.7,983.703333,983.498925,982.675556,985.116129,984.996774,985.894253,28.042667,28.442581,28.635333,28.016774,27.021935,27.017931,48.516667,47.362903,52.391667,67.032258,72.943548,74.491379,19.67,20.15,20.43,22.17,23.81,25.48,25.63,25.48,25.12,24.86,24.78,25.21,23.79,23.6,23.6,23.68,24.0,25.27,27.79,27.79,27.42,27.18,26.99,26.73,0.04,0.05,0.01,-0.06,-0.13,-0.16,0.38,0.25,0.13,0.27,-0.18,-0.1,0.24,0.28,0.33,0.36,0.21,0.39,138.3
296.7,242.4,212.1,217.4,200.7,208.7,983.498925,982.675556,985.116129,984.996774,985.894253,985.08172,28.442581,28.635333,28.016774,27.021935,27.017931,26.917419,47.362903,52.391667,67.032258,72.943548,74.491379,77.806452,20.15,20.43,22.17,23.81,25.48,26.02,25.48,25.12,24.86,24.78,25.21,26.3,23.6,23.6,23.68,24.0,25.27,26.7,27.79,27.42,27.18,26.99,26.73,26.89,0.05,0.01,-0.06,-0.13,-0.16,-0.14,0.25,0.13,0.27,-0.18,-0.1,0.06,0.28,0.33,0.36,0.21,0.39,0.4,221.4
242.4,212.1,217.4,200.7,208.7,215.3,982.675556,985.116129,984.996774,985.894253,985.08172,985.536667,28.635333,28.016774,27.021935,27.017931,26.917419,25.99,52.391667,67.032258,72.943548,74.491379,77.806452,77.983333,20.43,22.17,23.81,25.48,26.02,25.5,25.12,24.86,24.78,25.21,26.3,26.95,23.6,23.68,24.0,25.27,26.7,27.41,27.42,27.18,26.99,26.73,26.89,27.2,0.01,-0.06,-0.13,-0.16,-0.14,-0.15,0.13,0.27,-0.18,-0.1,0.06,-0.01,0.33,0.36,0.21,0.39,0.4,0.37,91.0
212.1,217.4,200.7,208.7,215.3,239.0,985.116129,984.996774,985.894253,985.08172,985.536667,986.811828,28.016774,27.021935,27.017931,26.917419,25.99,25.692258,67.032258,72.943548,74.491379,77.806452,77.983333,78.540323,22.17,23.81,25.48,26.02,25.5,24.02,24.86,24.78,25.21,26.3,26.95,27.07,23.68,24.0,25.27,26.7,27.41,26.88,27.18,26.99,26.73,26.89,27.2,27.63,-0.06,-0.13,-0.16,-0.14,-0.15,-0.23,0.27,-0.18,-0.1,0.06,-0.01,-0.06,0.36,0.21,0.39,0.4,0.37,0.29,95.1
273.6,284.6,312.3,288.1,257.6,239.4,987.873118,987.220455,985.533333,985.377778,985.572826,985.864516,27.501333,27766.0,28.446452,28.555333,29.118065,28.323871,56.4,56.183333,52.959677,58.908333,56.629032,61.475806,20.74,20.93,21.39,22.63,23.91,24.69,27.72,27.81,27.96,28.17,27.97,27.15,25.63,25.76,25.97,26.4,26.44,26.23,29.43,29.37,29.41,29.55,29.38,28.89,-0.15,-0.02,0.01,0.01,0.03,-0.0,-0.05,0.07,0.36,0.22,0.2,0.27,0.01,-0.08,0.14,-0.07,0.35,0.56,122.9
284.6,312.3,288.1,257.6,239.4,161.8,987.220455,985.533333,985.377778,985.572826,985.864516,985.696429,27766.0,28.446452,28.555333,29.118065,28.323871,27.392857,56.183333,52.959677,58.908333,56.629032,61.475806,71.035714,20.93,21.39,22.63,23.91,24.69,25.98,27.81,27.96,28.17,27.97,27.15,27.39,25.76,25.97,26.4,26.44,26.23,26.84,29.37,29.41,29.55,29.38,28.89,28.88,-0.02,0.01,0.01,0.03,-0.0,0.01,0.07,0.36,0.22,0.2,0.27,0.0,-0.08,0.14,-0.07,0.35,0.56,0.57,157.7
312.3,288.1,257.6,239.4,161.8,218.6,985.533333,985.377778,985.572826,985.864516,985.696429,985.684946,28.446452,28.555333,29.118065,28.323871,27.392857,26.447097,52.959677,58.908333,56.629032,61.475806,71.035714,77.758065,21.39,22.63,23.91,24.69,25.98,26.42,27.96,28.17,27.97,27.15,27.39,27.65,25.97,26.4,26.44,26.23,26.84,27.39,29.41,29.55,29.38,28.89,28.88,28.92,0.01,0.01,0.03,-0.0,0.01,-0.02,0.36,0.22,0.2,0.27,0.0,0.04,0.14,-0.07,0.35,0.56,0.57,0.63,172.9
288.1,257.6,239.4,161.8,218.6,229.3,985.377778,985.572826,985.864516,985.696429,985.684946,986.08,28.555333,29.118065,28.323871,27.392857,26.447097,26.79,58.908333,56.629032,61.475806,71.035714,77.758065,78.391667,22.63,23.91,24.69,25.98,26.42,24.98,28.17,27.97,27.15,27.39,27.65,27.68,26.4,26.44,26.23,26.84,27.39,27.14,29.55,29.38,28.89,28.88,28.92,28.96,0.01,0.03,-0.0,0.01,-0.02,0.01,0.22,0.2,0.27,0.0,0.04,0.0,-0.07,0.35,0.56,0.57,0.63,0.42,84.8
257.6,239.4,161.8,218.6,229.3,219.7,985.572826,985.864516,985.696429,985.684946,986.08,986.874194,29.118065,28.323871,27.392857,26.447097,26.79,26.566452,56.629032,61.475806,71.035714,77.758065,78.391667,77.717742,23.91,24.69,25.98,26.42,24.98,22.77,27.97,27.15,27.39,27.65,27.68,27.32,26.44,26.23,26.84,27.39,27.14,26.29,29.38,28.89,28.88,28.92,28.96,28.86,0.03,-0.0,0.01,-0.02,0.01,0.0,0.2,0.27,0.0,0.04,0.0,0.06,0.35,0.56,0.57,0.63,0.42,0.37,82.5
239.4,161.8,218.6,229.3,219.7,246.8,985.864516,985.696429,985.684946,986.08,986.874194,987.374444,28.323871,27.392857,26.447097,26.79,26.566452,25.77,61.475806,71.035714,77.758065,78.391667,77.717742,72.608333,24.69,25.98,26.42,24.98,22.77,21.77,27.15,27.39,27.65,27.68,27.32,27.44,26.23,26.84,27.39,27.14,26.29,26.03,28.89,28.88,28.92,28.96,28.86,29.07,-0.0,0.01,-0.02,0.01,0.0,0.05,0.27,0.0,0.04,0.0,0.06,0.22,0.56,0.57,0.63,0.42,0.37,0.1,2.7
161.8,218.6,229.3,219.7,246.8,274.1,985.696429,985.684946,986.08,986.874194,987.374444,988.201075,27.392857,26.447097,26.79,26.566452,25.77,26.746452,71.035714,77.758065,78.391667,77.717742,72.608333,52.056452,25.98,26.42,24.98,22.77,21.77,20.95,27.39,27.65,27.68,27.32,27.44,27.5,26.84,27.39,27.14,26.29,26.03,25.92,28.88,28.92,28.96,28.86,29.07,29.08,0.01,-0.02,0.01,0.0,0.05,0.2,0.0,0.04,0.0,0.06,0.22,0.36,0.57,0.63,0.42,0.37,0.1,0.4,0.0
218.6,229.3,219.7,246.8,274.1,289.4,985.684946,986.08,986.874194,987.374444,988.201075,987.888172,26.447097,26.79,26.566452,25.77,26.746452,27.701935,77.758065,78.391667,77.717742,72.608333,52.056452,51.209677,26.42,24.98,22.77,21.77,20.95,21.02,27.65,27.68,27.32,27.44,27.5,27.11,27.39,27.14,26.29,26.03,25.92,25.38,28.92,28.96,28.86,29.07,29.08,28.98,-0.02,0.01,0.0,0.05,0.2,0.34,0.04,0.0,0.06,0.22,0.36,0.59,0.63,0.42,0.37,0.1,0.4,0.49,0.0
229.3,219.7,246.8,274.1,289.4,296.4,986.08,986.874194,987.374444,988.201075,987.888172,987.281111,26.79,26.566452,25.77,26.746452,27.701935,28.424667,78.391667,77.717742,72.608333,52.056452,51.209677,51.612069,24.98,22.77,21.77,20.95,21.02,20.28,27.68,27.32,27.44,27.5,27.11,26.99,27.14,26.29,26.03,25.92,25.38,25.05,28.96,28.86,29.07,29.08,28.98,28.94,0.01,0.0,0.05,0.2,0.34,0.51,0.0,0.06,0.22,0.36,0.59,0.66,0.42,0.37,0.1,0.4,0.49,0.49,0.0
